variable,coef_abs_value
garden,0.25711210425954734
water strorage,0.2887904543880449
pool,0.34248044779315057
security,0.454102737491275
kitchen,0.5769755740810586
parking_space,0.5932284344342936
service_room,0.6369053966465067
accasible_for_handicap,0.7321266477732731
roof_Garden,0.7860679588976357
hospital,0.9338550459561505
bus,0.9635795972306047
balcony,1.1854651229102549
schools,1.3274360211480076
real_age,1.4222718404759418
historic,1.8673152251886957
parks,1.9273870931598034
property_type_id_id,2.0785769865306074
low_impact/area,2.1509788282505133
stadium,2.280428777615977
airport,2.436581772784687
university,2.446342732311415
first_floor,2.6288766888399677
mall,2.7315609681899575
gated_community,2.9074498991280824
museum,3.3118333344259536
high_impact/area,3.636962495996735
supermarket,3.6887239488975694
furniture,3.8222889713960204
bedrooms,3.8937922441081345
industry,3.9666223949625463
sport_facility,4.014119943513762
subway,4.276118659718575
air_conditioning,5.555579531392252
bathrooms,9.953034250117478
half_bathrooms,10.945501996098354
lot_size,26.75252724426596
