id,bedrooms,bathrooms,half_bathrooms,lot_size,construction_size,age,property_type_id_id,real_age,latitude,longitude,postal_code,settlement,price,balcony,water strorage,air_conditioning,pool,furniture,accasible_for_handicap,first_floor,security,parking_space,kitchen,garden,roof_Garden,service_room,gated_community,price_per_area,price_small,price_per_area_small
26054,3.0,2.0,0.0,166.0,166.0,2,3.0,2,19.401676,-99.141939,03400,álamos,5700000.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,34337.34939759036,5.7,0.03433734939759036
25524,2.0,2.0,0.0,84.0,84.0,1,1.0,1,19.385737,-99.180502,03840,ampliación nápoles,4704000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,56000.0,4.704,0.056
25778,3.0,3.0,0.0,127.0,117.0,0,1.0,0,19.407117,-99.159436,06760,roma sur,7927000.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,62417.32283464567,7.927,0.06241732283464567
21174,2.0,2.0,0.0,131.0,131.0,2022,1.0,0,19.3727898,-99.282137,05210,granjas navidad,4270000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,32595.419847328245,4.27,0.03259541984732824
12469,2.0,2.0,0.0,91.0,91.0,0,1.0,0,19.3621238,-99.2876783,05320,cuajimalpa,5155286.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,56651.494505494506,5.155286,0.056651494505494504
30201,2.0,2.0,0.0,56.0,56.0,0,1.0,0,19.4689514,-99.1546353,02950 ,del gas,2313368.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,41310.142857142855,2.313368,0.04131014285714286
2898,1.0,1.0,0.0,90.0,90.0,59,1.0,59,19.445302,-99.156997,06400,algarin,4600000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,51111.11111111111,4.6,0.05111111111111111
27515,3.0,2.0,0.0,133.0,133.0,3,1.0,3,19.35585,-99.297037,05370,las tinajas,8524000.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,64090.22556390977,8.524,0.06409022556390977
28104,1.0,1.0,0.0,64.0,64.0,4,1.0,4,19.366061,-99.30038,05270,manzanastitla,2831000.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,44234.375,2.831,0.044234375
25627,2.0,2.0,0.0,93.0,93.0,1,1.0,1,19.385737,-99.180502,03840,ampliación nápoles,5026006.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,54043.07526881721,5.026006,0.05404307526881721
