,id,bedrooms,bathrooms,half_bathrooms,lot_size,construction_size,age,property_type_id_id,real_age,latitude,longitude,postal_code,settlement,price,balcony,water strorage,air_conditioning,pool,furniture,accasible_for_handicap,first_floor,security,parking_space,kitchen,garden,roof_Garden,service_room,gated_community,price_per_area,price_small,price_per_area_small,geometry,high_impact/area,low_impact/area
0,26054,3.0,2.0,0.0,166.0,166.0,2,3.0,2,19.401676,-99.141939,03400,álamos,5700000.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,34337.34939759036,5.7,0.0343373493975903,POINT (-99.141939 19.401676),72.81054356101315,299.3792016086361
1,25524,2.0,2.0,0.0,84.0,84.0,1,1.0,1,19.385737,-99.180502,03840,ampliación nápoles,4704000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,56000.0,4.704,0.056,POINT (-99.180502 19.385737),65.65935376421085,346.20386530220264
2,25778,3.0,3.0,0.0,127.0,117.0,0,1.0,0,19.407117,-99.159436,06760,roma sur,7927000.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,62417.32283464567,7.927,0.0624173228346456,POINT (-99.159436 19.407117),84.22500479760824,331.62565489782344
3,21174,2.0,2.0,0.0,131.0,131.0,2022,1.0,0,19.3727898,-99.282137,05210,granjas navidad,4270000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,32595.419847328245,4.27,0.0325954198473282,POINT (-99.282137 19.3727898),21.743924741384628,122.28035096499099
4,12469,2.0,2.0,0.0,91.0,91.0,0,1.0,0,19.3621238,-99.2876783,05320,cuajimalpa,5155286.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,56651.494505494506,5.155286,0.0566514945054945,POINT (-99.2876783 19.3621238),17.794848178883544,131.16901190373548
5,30201,2.0,2.0,0.0,56.0,56.0,0,1.0,0,19.4689514,-99.1546353,02950 ,del gas,2313368.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,41310.142857142855,2.313368,0.0413101428571428,POINT (-99.1546353 19.4689514),55.47987566544607,227.77762617925376
6,2898,1.0,1.0,0.0,90.0,90.0,59,1.0,59,19.445302,-99.156997,06400,algarin,4600000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,51111.11111111111,4.6,0.0511111111111111,POINT (-99.156997 19.445302),80.34145869652822,370.7028234332203
7,27515,3.0,2.0,0.0,133.0,133.0,3,1.0,3,19.35585,-99.297037,05370,las tinajas,8524000.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,64090.22556390977,8.524,0.0640902255639097,POINT (-99.297037 19.35585),17.794848178883544,131.16901190373548
8,28104,1.0,1.0,0.0,64.0,64.0,4,1.0,4,19.366061,-99.30038,05270,manzanastitla,2831000.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,44234.375,2.831,0.044234375,POINT (-99.30038 19.366061),17.794848178883544,131.16901190373548
9,25627,2.0,2.0,0.0,93.0,93.0,1,1.0,1,19.385737,-99.180502,03840,ampliación nápoles,5026006.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,54043.07526881721,5.026006,0.0540430752688172,POINT (-99.180502 19.385737),65.65935376421085,346.20386530220264
10,146,2.0,2.0,1.0,335.0,335.0,42,1.0,42,19.4294628,-99.1837218,11560,polanco,2750000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,8208.955223880597,2.75,0.0082089552238805,POINT (-99.1837218 19.4294628),50.15593788624832,310.42164165684557
11,25661,2.0,2.0,0.0,125.0,125.0,1,1.0,1,19.359115,-99.195348,01010,los alpes,8342368.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,66738.944,8.342368,0.066738944,POINT (-99.195348 19.359115),44.88495310790622,236.4557838983513
12,25631,2.0,2.0,0.0,76.0,76.0,1,1.0,1,19.359115,-99.195348,01010,los alpes,5313148.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,69909.84210526316,5.313148,0.0699098421052631,POINT (-99.195348 19.359115),44.88495310790622,236.4557838983513
13,25750,2.0,2.0,0.0,84.0,84.0,1,1.0,1,19.385737,-99.180502,03840,ampliación nápoles,4778546.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,56887.45238095238,4.778546,0.0568874523809523,POINT (-99.180502 19.385737),65.65935376421085,346.20386530220264
14,27668,3.0,2.0,0.0,133.0,133.0,3,1.0,3,19.35585,-99.297037,05370,las tinajas,9947000.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,74789.47368421052,9.947,0.0747894736842105,POINT (-99.297037 19.35585),17.794848178883544,131.16901190373548
15,351,1.0,2.0,0.0,87.0,87.0,1,1.0,1,19.3653346,-99.165019,03330,xoco,4875300.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,56037.93103448276,4.8753,0.0560379310344827,POINT (-99.165019 19.3653346),56.61209517789168,313.43769769222956
16,27746,1.0,1.0,0.0,64.0,64.0,4,1.0,4,19.366061,-99.30038,05270,manzanastitla,3044900.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,47576.5625,3.0449,0.0475765625,POINT (-99.30038 19.366061),17.794848178883544,131.16901190373548
17,26270,2.0,2.0,0.0,80.0,73.0,0,1.0,0,19.342446,-99.146862,04370,atlántida,4131000.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,51637.5,4.131,0.0516375,POINT (-99.146862 19.342446),36.197891206724414,158.65018603175784
18,9235,4.0,3.0,0.0,312.0,390.0,15,3.0,15,19.211365,-99.095989,16880,santa cecilia tepetlapa,3640000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,11666.666666666666,3.64,0.0116666666666666,POINT (-99.095989 19.211365),7.08528501257544,21.255855037726324
19,27607,2.0,2.0,0.0,63.0,63.0,0,1.0,0,19.404184,-99.115316,08400,granjas méxico,2080982.83,False,False,False,True,False,False,False,True,False,False,True,False,True,False,33031.473492063495,2.08098283,0.0330314734920634,POINT (-99.115316 19.404184),64.26647152586267,170.58967809438545
20,26081,2.0,2.0,0.0,63.0,63.0,0,1.0,0,19.404184,-99.115316,08400,granjas méxico,2149823.75,False,False,False,True,False,False,False,True,False,False,True,False,True,False,34124.18650793651,2.14982375,0.0341241865079365,POINT (-99.115316 19.404184),64.26647152586267,170.58967809438545
21,9844,3.0,2.0,0.0,84.0,84.0,1,1.0,1,19.313976,-99.227404,10700,héroes de padierna,3500000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,41666.66666666666,3.5,0.0416666666666666,POINT (-99.227404 19.313976),33.45092955024028,153.18649980951156
22,26269,2.0,2.0,0.0,80.0,73.0,0,1.0,0,19.342446,-99.146862,04370,atlántida,4008600.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,50107.5,4.0086,0.0501075,POINT (-99.146862 19.342446),36.197891206724414,158.65018603175784
23,25805,2.0,2.0,0.0,78.0,78.0,0,1.0,0,19.410928,-99.167361,06700,roma norte,4632090.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,59385.769230769234,4.63209,0.0593857692307692,POINT (-99.167361 19.410928),90.61269196516918,403.2212656263627
24,12924,2.0,2.0,0.0,127.0,127.0,2,1.0,2,19.303744,-99.177143,04700,pedregal de carrasco,6200000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,48818.89763779528,6.2,0.0488188976377952,POINT (-99.177143 19.303744),26.732127171348612,149.2309274723356
25,26307,3.0,2.0,0.0,237.0,237.0,0,1.0,0,19.346008,-99.21422,01790,lomas de los ángeles del pueblo tetelpan,7734800.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,32636.286919831226,7.7348,0.0326362869198312,POINT (-99.21422 19.346008),9.67832779415762,39.70596018115946
26,26617,3.0,2.0,0.0,117.0,117.0,0,1.0,0,19.346008,-99.21422,01790,lomas de los ángeles del pueblo tetelpan,5643500.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,48235.042735042734,5.6435,0.0482350427350427,POINT (-99.21422 19.346008),9.67832779415762,39.70596018115946
27,115,2.0,1.0,0.0,78.0,78.0,43,1.0,43,19.4568032,-99.1358793,06250,ex-hipódromo de peralvillo,3100000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,39743.58974358974,3.1,0.0397435897435897,POINT (-99.1358793 19.4568032),47.40645781753932,260.2048486925386
28,5469,3.0,2.0,0.0,155.0,307.0,1,3.0,1,19.485371,-99.07682,07530,campestre aragón,3600000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,23225.8064516129,3.6,0.0232258064516129,POINT (-99.07682 19.485371),37.40301413026851,110.93918697280257
29,7824,3.0,2.0,0.0,100.0,100.0,6,1.0,6,19.396671,-99.17695,03810,napoles,6130000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,61300.0,6.13,0.0613,POINT (-99.17695 19.396671),81.82351915061732,538.8977114358983
30,26258,2.0,1.0,0.0,71.0,62.0,0,1.0,0,19.410715,-99.145956,06720,,2798772.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,39419.32394366197,2.798772,0.0394193239436619,POINT (-99.145956 19.410715),194.8891478951762,765.0499796208497
31,7919,2.0,2.0,0.0,110.0,110.0,1,1.0,1,19.359266,-99.16226,03340,general pedro maria anaya,5600000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,50909.09090909091,5.6,0.0509090909090909,POINT (-99.16226 19.359266),40.989819940632614,135.99226719886965
32,37686,2.0,1.0,0.0,69.0,69.0,15,1.0,15,19.391896,-99.140265,03410,postal,3101438.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,44948.3768115942,3.101438,0.0449483768115942,POINT (-99.140265 19.391896),58.01071011666331,250.17118737811055
33,26735,2.0,2.0,0.0,63.0,63.0,0,1.0,0,19.404184,-99.115316,08400,granjas méxico,2160353.75,False,False,False,True,False,False,False,True,False,False,True,False,True,False,34291.329365079364,2.16035375,0.0342913293650793,POINT (-99.115316 19.404184),64.26647152586267,170.58967809438545
34,4500,2.0,2.0,1.0,149.0,149.0,10,1.0,10,19.434553,-99.16973,06500,cuauhtémoc,8900000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,59731.54362416107,8.9,0.059731543624161,POINT (-99.16973 19.434553),64.50432523333873,407.2013130368917
35,25924,2.0,2.0,0.0,76.0,76.0,1,1.0,1,19.359115,-99.195348,01010,los alpes,4981800.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,65550.0,4.9818,0.06555,POINT (-99.195348 19.359115),44.88495310790622,236.4557838983513
36,8168,2.0,2.0,0.0,62.0,62.0,3,1.0,3,19.383,-99.198348,01180,carola,3000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,48387.096774193546,3.0,0.0483870967741935,POINT (-99.198348 19.383),48.77228930904658,211.58050685866968
37,2277,3.0,2.0,1.0,300.0,300.0,41,1.0,41,19.433581,-99.187082,11560,polanco v sección,16500000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,55000.0,16.5,0.055,POINT (-99.187082 19.433581),50.15593788624832,310.42164165684557
38,2845,3.0,3.0,1.0,390.0,390.0,12,1.0,12,19.35946,-99.28166,05348,santa fe cuajimalpa,26000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,66666.66666666667,26.0,0.0666666666666666,POINT (-99.28166 19.35946),6.405224479727096,64.4158601607489
39,27386,2.0,2.0,0.0,121.0,121.0,0,1.0,0,19.375377,-99.139438,03540,,3501400.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,28937.19008264463,3.5014,0.0289371900826446,POINT (-99.139438 19.375377),49.99293407953005,266.38026069242136
40,26311,2.0,2.0,0.0,60.0,60.0,0,1.0,0,19.456169,-99.194181,11410,tacuba,2229700.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,37161.66666666666,2.2297,0.0371616666666666,POINT (-99.194181 19.456169),99.73489258585587,245.5971729926701
41,25944,2.0,2.0,0.0,109.0,109.0,1,1.0,1,19.359115,-99.195348,01010,los alpes,7224913.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,66283.60550458716,7.224913,0.0662836055045871,POINT (-99.195348 19.359115),44.88495310790622,236.4557838983513
42,5068,2.0,2.0,0.0,67.0,67.0,1,1.0,1,19.387966,-99.13923,03430,josefa ortiz de domínguez,2819274.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,42078.71641791045,2.819274,0.0420787164179104,POINT (-99.13923 19.387966),95.07416827122513,256.2168263580474
43,26139,2.0,2.0,0.0,180.0,109.0,1,1.0,1,19.385737,-99.180502,03840,ampliación nápoles,8275415.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,45974.52777777778,8.275415,0.0459745277777777,POINT (-99.180502 19.385737),65.65935376421085,346.20386530220264
44,26439,2.0,2.0,0.0,78.0,78.0,1,1.0,1,19.359115,-99.195348,01010,los alpes,5324800.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,68266.66666666667,5.3248,0.0682666666666666,POINT (-99.195348 19.359115),44.88495310790622,236.4557838983513
45,25753,2.0,2.0,0.0,74.0,67.0,0,1.0,0,19.385581,-99.141016,03500,nativitas,3435040.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,46419.45945945946,3.43504,0.0464194594594594,POINT (-99.141016 19.385581),58.59061738441014,309.2282584177202
46,7054,2.0,1.0,0.0,79.0,79.0,1,1.0,1,19.405975,-99.136005,06850,asturias,2642480.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,33449.11392405063,2.64248,0.0334491139240506,POINT (-99.136005 19.405975),56.67837518829876,177.42795711119612
47,426,1.0,1.0,0.0,61.0,61.0,1,1.0,1,19.3611703,-99.1518853,03300,portales norte,2980000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,48852.45901639344,2.98,0.0488524590163934,POINT (-99.1518853 19.3611703),58.277273873852444,230.4653532881147
48,7624,3.0,3.0,1.0,190.0,190.0,1,1.0,1,19.347194,-99.25634,05600,san mateo tlaltenango,11620000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,61157.89473684211,11.62,0.0611578947368421,POINT (-99.25634 19.347194),1.3223553422549978,4.628243697892492
